candidate_code,still_missing,serial_number,ballot_position,candidate_name,candidate_name_dari,candidate_name_pashto,candidate_votes,vote_share,candidate_rank,results_date,results_status,candidate_id,electorate,candidate_party_dari,candidate_gender,province_code,province_name_eng,candidate_party_transliterated,candidate_party_eng,notes
25-1605-15,YES,11,11,Sharif Uruzgani,شریف ارزګانی,شریف ارزګانی,170,0.0133942641,22,2018-11-23,Results Status : Uncertified,1605-15,General,مستقل,M,25,Uruzgan,,Independent,Appeared in disqualified candidate page
27-1006-13,YES,83,84,Abdul Wase Alokozai,عبدالواسع    الکوزی ,عبدالواسع    الکوزی ,365,0.002179286627,86,2018-11-23,Results Status : Uncertified,1006-13,General,مستقل,M,27,Kandahar,,Independent,Appeared in disqualified candidate page
27-1169-60,YES,68,69,Mohammad Younus Fakor,محمد یونس  فکور,محمد یونس  فکور,353,0.002107638847,88,2018-11-23,Results Status : Uncertified,1169-60,General,مستقل,M,27,Kandahar,,Independent,Appeared in disqualified candidate page
29-1477-2051,YES,53,54,Dr Ahmad Jawid Qazizadah,داکتراحمد جاوید قاضی زاده,داکتراحمد جاوید قاضی زاده,167,0.00237151905,53,2018-11-23,Results Status : Uncertified,1477-2051,General,مستقل,M,29,Faryab,,Independent,Appeared in disqualified candidate page
29-1065-2044,YES,29,29,Tahmina Sheja,تهمینه شجاع,تهمینه شجاع,110,0.001562078416,58,2018-11-23,Results Status : Uncertified,1065-2044,General,NA,F,29,Faryab,,,Appeared in disqualified candidate page
30-1174-29,YES,21,21,Nasima Neyazi,نسیمه نیازی ,نسیمه نیازی ,1463,0.01759343884,18,2018-11-23,Results Status : Uncertified,1174-29,General,مستقل / خپلواک,F,30,Helmand,,Independent,
30-1289-45,YES,56,58,Saleh Mohammad Qasemi,صالح محمد قاسمی,صالح محمد قاسمی,294,0.003535523594,75,2018-11-23,Results Status : Uncertified,1289-45,General,مستقل,M,30,Helmand,,Independent,Appeared in disqualified candidate page
30-1182-105,YES,88,91,Rashed Ahmad Begonah,راشد احمد بیګناه,راشد احمد بیګناه,37,0.0004449468469,87,2018-11-23,Results Status : Uncertified,1182-105,General,مستقل,M,30,Helmand,,Independent,Appeared in disqualified candidate page
32-1629-1121,YES,61,62,Mohammad Mussa Rezaye,محمد موسی رضائی,محمد موسی رضائی,3711,0.01095786052,29,2018-11-23,Results Status : Uncertified,1629-1121,General,مستقل,M,32,Herat,,Independent,Appeared in disqualified candidate page
32-1281-3,YES,42,42,Mohammad Rafiq Shahir,محمد رفیق شهیر,محمد رفیق شهیر,2504,0.007393824503,42,2018-11-23,Results Status : Uncertified,1281-3,General,مستقل / خپلواک,M,32,Herat,,Independent,
33-1185-20,YES,40,41,Sayed Ahmad Hamdard,سید احمد همدرد,سید احمد همدرد,236,0.009106694964,28,2018-11-23,Results Status : Uncertified,1185-20,General,مستقل,M,33,Farah,,Independent,Appeared in disqualified candidate page
33-1193-38,YES,14,14,Bahauddin Shinwari,بهاوالدین شهنوازی,بهاوالدین شهنوازی,209,0.00806482732,29,2018-11-23,Results Status : Uncertified,1193-38,General,مستقل / خپلواک,M,33,Farah,,Independent,
1-1080-172,YES,26,9,Mariam Sulaimankhel,مریم سلیمان خیل ,مریم سلیمان خیل ,839,0.01262109634,14,2018-11-23,Results Status : Uncertified,1080-172,Kuchi,مستقل / خپلواک,F,35,Kuchi,,Independent,
1-1887-162,YES,236,236,Masooda Qazi Waziri,مسعوده قاضی وزیری,مسعوده قاضی وزیری,25,3.75E-05,596,2018-11-23,Results Status : Uncertified,1887-162,General,NA,F,1,Kabul,NA,NA,Appeared in disqualified candidate page
1-1309-5,YES,522,523,Masooma Tawasoli,معصومه توسلی,معصومه توسلی,580,0.0008702462797,279,2018-11-23,Results Status : Uncertified,1309-5,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1033-16,YES,176,176,Mufti Sayed Masood Hashemi,مفتی سید مسعود هاشمی ,مفتی سید مسعود هاشمی ,80,0.0001200339696,550,2018-11-23,Results Status : Uncertified,1033-16,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1548-197,YES,100,100,Mirza Alizadah,میرزا علی زاده,میرزا علی زاده,320,0.0004801358785,392,2018-11-23,Results Status : Uncertified,1548-197,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1048-1159,YES,77,77,Nabila Sayedjanzada Hamid,نبیلا سیدجان زاده حمید ,نبیلا سیدجان زاده حمید ,91,0.0001365386404,542,2018-11-23,Results Status : Uncertified,1048-1159,General,حزب انصاف اسلامی ملی افغانستان,F,1,Kabul,,,Appeared in disqualified candidate page
35-1780-1100,YES,61,21,Mirwais Hussainkhel,میرویس حسین خیل,میرویس حسین خیل,4671,0.07026596065,3,2018-11-23,Results Status : Uncertified,1780-1100,Kuchi,مستقل / خپلواک,M,35,Kuchi,,Independent,
1-1217-259,YES,1,1,Narender Singh Khalesa,نرندر سنگ خالصه,نرندر سنگ خالصه,303,1,1,2018-11-23,Results Status : Uncertified,1217-259,Sikh / Hindu,NA,M,36,Sikh,NA,NA,
